"resultDate","ipAddress","ipv6 address","country","region","city","latitude","longitude","serverId","serverName","userAgent","connectionType","ispName","ispNameRaw","download (Kbps)","upload (Kbps)","ping (ms)","jitter","testId"
"2025-10-24T11:38:49.000Z",,"2402:800:62f6::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","40120.00","n/a",7,3,"18389324-101a-bb8d-ij3c-4babb0bec3j8"
"2025-10-24T11:38:39.000Z","117.2.253.0",,"Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","309801.00","318850.00",7,0,"18389323-530a-bb8d-ij3c-3fdaa3fdc3j8"
"2025-10-24T11:22:07.000Z","117.2.133.0",,"Vietnam","Quang Nam Province","An Binh",15.67,108.37,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","456867.00","n/a",6,1,"18389269-736a-bb8d-ij2g-9hdgg3hjg2j8"
"2025-10-24T11:21:57.000Z",,"2402:800:62f6::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","EDGE","n/a","Viettel","Viettel Group","18546.00","2807.00",6,267,"18389269-239a-bb8d-ij2g-9cdjj3cjg2j8"
"2025-10-24T11:21:42.000Z","117.2.133.0",,"Vietnam","Quang Nam Province","An Binh",15.67,108.37,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","401955.00","n/a",5,8,"18389268-418a-bb8d-ij2g-8ebii1eig2j8"
"2025-10-24T11:20:53.000Z",,"2402:800:62f6::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","EDGE","n/a","Viettel","Viettel Group","26775.00","4381.00",8,3,"18389265-789a-bb8d-ij2g-5hijj8hfg2j8"
"2025-10-24T11:17:30.000Z","117.2.253.0",,"Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","303010.00","317765.00",10,0,"18389255-210a-bb8d-ij2f-5cbaa1cff2j8"
"2025-10-24T11:06:43.000Z","117.2.253.0",,"Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","299144.00","318251.00",5,0,"18389220-456a-bb8d-ij2c-0efgg5eac2j8"
"2025-10-24T10:50:50.000Z","117.2.253.0",,"Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","267309.00","318673.00",10,0,"18389169-872a-bb8d-ij1g-9ihcc7ijg1j8"
"2025-10-24T10:48:47.000Z","117.2.253.0",,"Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","315636.00","296143.00",6,0,"18389163-408a-bb8d-ij1g-3eaii0edg1j8"
"2025-10-24T10:26:25.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","21056.00","n/a",6,2,"18389094-541a-bb8d-ij0j-4febb4fej0j8"
"2025-10-24T10:25:58.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","11035.00","n/a",6,2,"18389093-169a-bb8d-ij0j-3bgjj6bdj0j8"
"2025-10-24T10:25:34.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","13019.00","n/a",5,3,"18389091-984a-bb8d-ij0j-1jiee8jbj0j8"
